category,tag,words
general,selfimprovement,"['looksmaxxing', 'mewing', 'mog']"
general,mog,"['looksmaxxing', 'mogging', 'mew', 'mewing', 'mog']"
general,mogged,"['looksmaxxing', 'mogging', 'mewing', 'mog']"
general,gym,"['looksmaxxing', 'mogging', 'alpha', 'mog', 'sigma']"
general,chicolachowski,"['looksmaxxing', 'mogging', 'mew', 'mewing', 'mog']"
general,jordanbarret,"['looksmaxxing', 'mog']"
general,fitnesslife,"['looksmaxxing', 'mog']"
general,lookmaxxing,"['looksmaxxing', 'mogging']"
general,tiktokslang,"['mogging', 'mog', 'skibidi']"
general,chronicallyonline,"['mogging', 'mog']"
general,gigachad,"['mogging', 'mew', 'skibidi']"
general,jordanbarrett,"['mogging', 'mew', 'mog']"
general,seanopry,"['mogging', 'mog']"
general,mogging,"['mogging', 'mog']"
both,siblings,"['ate', 'face card', 'mogging', 'mog']"
general,sisters,"['mogging', 'mog']"
general,mewing,"['mogging', 'mew', 'mewing', 'mog', 'skibidi']"
both,greenscreen,"['era', 'onika burgers', 'yap', 'chronically online', 'roman empire', 'mogging', 'tiktok rizz party']"
general,franciscolachowski,"['mogging', 'mew', 'mewing', 'mog']"
general,slideshow,"['mogging', 'goated']"
general,cristianoronaldo,"['mogging', 'sigma']"
general,ronaldo,"['mogging', 'aura', 'mewing']"
general,aftereffects,"['mogging', 'mew', 'tiktok rizz party']"
general,fyy,"['mogging', 'goated', 'goofy ahh', 'mog']"
general,jeremy,"['mogging', 'mog']"
general,fragrance,"['mogging', 'mog']"
general,jeremyfragrance,"['mogging', 'mog']"
general,perfume,"['mogging', 'mog']"
general,goat,"['mogging', 'aura', 'goated', 'mog', 'sigma']"
